,label_pl,text_pl
0,Łuszczyca,"Od kilku tygodni odczuwam wysypkę skórną na rękach, nogach i tułowiu. Jest czerwona, swędzi i pokryta suchymi, łuszczącymi się plamami."
1,Łuszczyca,"Łuszczyła mi się skóra, szczególnie na kolanach, łokciach i skórze głowy. Peelingowi często towarzyszy uczucie pieczenia lub kłucia."
2,Łuszczyca,"Odczuwam bóle stawów w palcach, nadgarstkach i kolanach. Ból jest często bolesny i pulsujący, a nasila się, gdy poruszam stawami."
3,Łuszczyca,"Na mojej skórze, szczególnie w dolnej części pleców i skórze głowy, pojawia się srebrzysty pył. Pył ten składa się z małych łusek, które łatwo odpadają, gdy je drapię."
4,Łuszczyca,"Moje paznokcie mają małe wgniecenia lub wgłębienia, często są podatne na stany zapalne i tkliwe w dotyku. Nawet na ramionach mam drobne wysypki."
5,Łuszczyca,Skóra na dłoniach i podeszwach jest pogrubiona i ma głębokie pęknięcia. Pęknięcia te są bolesne i łatwo krwawią.
6,Łuszczyca,"Skóra wokół ust, nosa i oczu jest czerwona i występuje stan zapalny. Często swędzi i powoduje dyskomfort. Na moich paznokciach pojawia się zauważalny stan zapalny."
7,Łuszczyca,"Moja skóra jest bardzo wrażliwa i łatwo reaguje na zmiany temperatury i wilgotności. Często muszę uważać na to, jakich kosmetyków używam na swoją skórę."
8,Łuszczyca,"Zauważyłem nagłe łuszczenie się skóry w różnych częściach ciała, głównie na ramionach, nogach i plecach. Poza tym borykam się z silnym bólem stawów i wysypką skórną."
9,Łuszczyca,"Skóra na moich genitaliach jest czerwona i zapalona. Często swędzi, piecze i powoduje dyskomfort. Wysypki pojawiają się także na różnych częściach ciała."
10,Łuszczyca,"Odczuwam zmęczenie i ogólne złe samopoczucie. Często czuję się zmęczony i brakuje mi energii, nawet po dobrze przespanej nocy."
11,Łuszczyca,"Wysypka na skórze rozprzestrzeniła się na inne części ciała, w tym na klatkę piersiową i brzuch. Swędzi i powoduje dyskomfort, często nasila się w nocy. Ja też borykam się z łuszczeniem się skóry."
12,Łuszczyca,"Wysypka na skórze nasila się w miesiącach zimowych, kiedy powietrze jest suche. Uważam, że muszę częściej nawilżać skórę i używać nawilżaczy, aby utrzymać nawilżenie skóry."
13,Łuszczyca,"Miałem trudności ze snem z powodu swędzenia i dyskomfortu spowodowanego wysypką. Mam małe wgniecenia na paznokciach, co jest naprawdę niepokojące."
14,Łuszczyca,"Moja skóra jest podatna na infekcje spowodowane suchymi, łuszczącymi się plamami. Odczuwam silny ból stawów. Zaczyna mi się łuszczyć skóra na kolanach i łokciach."
15,Łuszczyca,"Zaczynam mieć wysypkę na skórze. Wysypka często krwawi, gdy ją drapię lub pocieram. Ponadto zauważyłem małe wgniecenia na paznokciach."
16,Łuszczyca,"Zauważyłam, że moja skóra stała się bardziej wrażliwa niż wcześniej. Na mojej skórze, szczególnie na plecach i łokciach, pojawia się srebrzysty pył."
17,Łuszczyca,"Niepokoi mnie ciągłe łuszczenie się skóry na dłoniach, łokciach i kolanach. Na ramionach pojawiły mi się wysypki, które swędzą, gdy ich dotykam. Wszystko to sprawia, że ​​moje życie jest dość niewygodne i nieszczęśliwe."
18,Łuszczyca,"Czuję dziwny ból w stawach. Ponadto zauważyłem dziwne łuszczenie się skóry w różnych częściach ciała. Boję się, że z moim organizmem dzieje się coś złego."
19,Łuszczyca,"Moje paznokcie mają małe wgniecenia. Nawet moje stawy zaczęły mocno boleć. Na mojej skórze, szczególnie na plecach, pojawia się srebrzysty pył."
20,Łuszczyca,"Wysypki na mojej skórze nie goją się. Ponadto zauważyłam nagłe łuszczenie się skóry, szczególnie na łokciach i kolanach. Naprawdę się tym martwię."
21,Łuszczyca,"Od kilku tygodni mam wysypkę na rękach, nogach i klatce piersiowej. Jest czerwony i drażniący, z suchymi, łuszczącymi się plamami. Ja też mam dziwne bóle w stawach."
22,Łuszczyca,"Łuszczy mi się skóra, szczególnie na kolanach, łokciach i skórze głowy. Peelingowi często towarzyszy uczucie kłucia lub pieczenia."
23,Łuszczyca,"Odczuwam dyskomfort w palcach, nadgarstkach i kolanach. Ból jest często bolesny i pulsujący, a nasila się, gdy poruszam stawami."
24,Łuszczyca,"Moja skóra ma srebrzysty nalot, szczególnie na plecach, ramionach i skórze głowy. Pył ten składa się z maleńkich łusek, które łatwo odklejają się pod wpływem zarysowania."
25,Łuszczyca,"Mam czerwoną i zapalną skórę wokół ust, nosa i oczu. Często jest to irytujące i nieprzyjemne. Ostatnio stało się to bardzo bolesne."
26,Łuszczyca,Moja skóra jest niezwykle wrażliwa i szybko ulega podrażnieniom na skutek zmian temperatury czy wilgotności. Na moich paznokciach pojawiły się wgniecenia. Martwię się tą nagłą zmianą.
27,Łuszczyca,"Widziałem nagłe łuszczenie się skóry w różnych obszarach mojego ciała, głównie na ramionach, nogach i plecach. Ponadto mam znaczny ból stawów i wysypkę skórną. Wysypka rozprzestrzenia się na różne części ciała."
